scenario,description,feasible,status,solve_seconds,staffing_shortfalls,assignment_edits,replacement_equivalents,affected_workers,workload_gini,workload_gini_delta,night_gini,night_gini_delta,weekend_gini,weekend_gini_delta,objective,error
single_day_absence,Ana Catarina becomes unavailable on 2026-09-16.,1,OPTIMAL,0.2481,24,4,2,2,0.0442,-0.0003,0.1618,-0.0013,0.3105,0.0026,33624015.0,
night_worker_absence,Night worker Leonardo becomes unavailable on 2026-09-10.,1,OPTIMAL,0.3469,24,4,2,2,0.0442,-0.0003,0.1618,-0.0013,0.3079,0.0,33624065.0,
three_day_absence,Ana Catarina becomes unavailable for three consecutive days.,1,OPTIMAL,0.3636,25,6,3,2,0.044,-0.0005,0.159,-0.0041,0.3105,0.0026,34160305.0,
morning_demand_increase,Morning demand increases by one on 2026-09-20.,1,OPTIMAL,0.2209,25,2,1,1,0.0445,0.0,0.1631,0.0,0.2801,-0.0278,33496215.0,
night_demand_increase,Night demand increases by one on 2026-09-20.,1,OPTIMAL,0.3345,24,3,2,2,0.0441,-0.0004,0.2062,0.0431,0.3105,0.0026,33695890.0,
simultaneous_absences,Two scheduled workers become unavailable on 2026-09-16.,1,OPTIMAL,0.3484,25,12,6,5,0.0437,-0.0008,0.147,-0.0161,0.293,-0.0149,34594120.0,
